benchmark,primaryScore,noOfValues,CYCLE_ACTIVITY.STALLS_L2_MISS,CYCLE_ACTIVITY.CYCLES_L1D_MISS,CYCLE_ACTIVITY.STALLS_TOTAL,LLC-loads,CYCLE_ACTIVITY.CYCLES_L2_MISS,CYCLE_ACTIVITY.STALLS_L1D_MISS,L1-dcache-loads,L2_RQSTS.ALL_DEMAND_DATA_RD,LLC-load-misses,CYCLE_ACTIVITY.CYCLES_L3_MISS,CYCLE_ACTIVITY.STALLS_L3_MISS,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,8003378.173714296,64,0.06606271995647613,0.07709360692288533,130.42298156741492,0.0030865319097776144,0.05802289361754822,0.0739472206266984,104.52023435439867,0.006746637282272207,2.498711688705847E-4,0.012661896494414519,0.00799970911323572,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,3454738.842119274,128,0.17684907189338153,0.19224467804483666,414.7516158185311,0.008005945162206603,0.14246363810518353,0.19218927234317387,184.3610144279324,0.016579947706515274,6.493190778741928E-4,0.031449825240418304,0.0532540540055505,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,1600866.6344066474,256,0.32350218874254244,0.37413979938644626,1004.2171168335477,0.016153450640554567,0.5922597601322435,0.3774545145876362,344.43781050522006,0.025646355243403866,1.9183689217127268E-4,0.27740765372165044,0.05284778507954596,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,772224.9020639955,512,0.6616171362597157,1.7695192587372384,2136.575389838279,0.02519660528369934,1.4664024638902262,1.1125617622043833,724.8897947550638,0.06649001315732543,0.003249198585472849,0.7702378005381278,0.3580383630302594,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,381588.1401272431,1024,0.7884772176927349,2.3680067171824937,4431.701402986646,0.08369747575935402,1.2919478879224198,1.4927688299664732,1429.7293456512677,0.21216203305132672,0.010722030984362857,1.0686597772215523,0.15476377760379653,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,188248.45050483829,2048,8.75073692580368,19.771527670386778,9202.91638991524,0.2211586097447375,10.363706311870983,9.020666832700762,2934.1992976738857,1.6837377578047745,0.009131191199551367,1.5387882972166378,3.6757013235288882,
com.bhf.averages.CalculatingAveragesApache.testApacheFirstMoment,93644.33639520874,4096,5.0607075309407525,238.9828063870174,18537.46603854303,0.7687905796358481,16.655914520370896,102.42955911697018,5838.570710183244,34.655234725731326,0.04058951253319859,8.453476537525763,4.229809277167705,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,44959.14020524812,4,5184.740570642848,12452.86585938481,47372.54622082532,226.9099307749183,8975.808221360136,6657.0274367667935,9195.666425685342,759.2707650308729,1.6925808326559706,256.0100872440429,229.71754767929758,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,45475.73319955655,8,4943.318826254447,12199.166054176596,44986.307044677145,235.99387466245338,8929.818170343362,6339.844104787291,8513.06052889726,744.1613605460893,0.4126152196092909,46.212863845262795,30.807601609709565,
com.bhf.averages.CalculatingAveragesFutures.testAverageWithFutures,45009.10649191815,16,4856.161869680665,11821.578305173245,46006.50618957794,212.97372147911912,8438.984048933218,6268.336371313197,8539.790009662029,750.7314362566932,0.19451270818789707,53.08173359525985,53.90618742795177,
